date,prcp,t_median,t_hr,gwl_median,gwl_hr
2015-01-01,0.0,26.0,8.0,33.0,0.11999999999999744
2015-01-02,0.0,32.0,7.0,32.925,0.07500000000000284
2015-01-03,0.79,42.5,9.5,32.91,0.11000000000000654
2015-01-04,0.01,28.0,16.0,32.849999999999994,0.060000000000002274
2015-01-05,0.11,9.0,5.0,32.935,0.11499999999999488
2015-01-06,0.08,14.0,5.0,33.065,0.15500000000000114
2015-01-07,0.0,3.0,9.0,32.995000000000005,0.06499999999999773
2015-01-08,0.0,6.5,13.5,33.16,0.1600000000000037
2015-01-09,0.0,11.0,10.0,33.285,0.11500000000000199
2015-01-10,0.0,10.5,13.5,33.33,0.10000000000000142
2015-01-11,0.43,27.5,6.5,33.375,0.125
2015-01-12,0.19,25.0,6.0,33.25,0.04999999999999716
2015-01-13,0.0,15.5,7.5,33.315,0.10500000000000398
2015-01-14,0.0,13.0,8.0,33.34,0.09999999999999432
2015-01-15,0.0,24.5,11.5,33.345,0.134999999999998
2015-01-16,0.0,31.5,10.5,33.150000000000006,0.05999999999999517
2015-01-17,0.0,39.0,12.0,33.06,0.04999999999999716
2015-01-18,0.01,36.0,8.0,32.985,0.02499999999999858
2015-01-19,0.0,35.0,12.0,33.015,0.06499999999999773
2015-01-20,0.0,40.0,10.0,33.004999999999995,0.07500000000000284
2015-01-21,0.0,36.5,6.5,32.965,0.054999999999999716
2015-01-22,0.0,30.5,2.5,32.945,0.045000000000001705
2015-01-23,0.0,29.0,5.0,32.965,0.07499999999999574
2015-01-24,0.0,29.5,9.5,32.925,0.06500000000000483
2015-01-25,0.04,28.5,8.5,32.87,0.03999999999999915
2015-01-26,0.0,21.5,4.5,32.965,0.07499999999999574
2015-01-27,0.01,24.5,4.5,33.010000000000005,0.04999999999999716
2015-01-28,0.0,24.5,9.5,33.04,0.11999999999999744
2015-01-29,0.0,37.5,7.5,32.980000000000004,0.09999999999999432
2015-01-30,0.01,25.5,5.5,32.900000000000006,0.04999999999999716
2015-01-31,0.13,26.0,10.0,32.965,0.06499999999999773
2015-02-01,0.29,30.0,3.0,33.004999999999995,0.10500000000000398
2015-02-02,0.01,20.0,7.0,32.975,0.09499999999999886
2015-02-03,0.0,26.0,10.0,33.055,0.125
2015-02-04,0.07,28.5,13.5,32.965,0.06499999999999773
2015-02-05,0.0,14.5,9.5,33.075,0.10499999999999687
2015-02-06,0.0,24.5,12.5,32.955,0.035000000000003695
2015-02-07,0.0,41.5,13.5,32.91,0.0800000000000054
2015-02-08,0.0,46.5,10.5,32.81,0.01999999999999602
2015-02-09,0.0,31.0,5.0,32.825,0.0449999999999946
2015-02-10,0.0,27.0,9.0,32.96,0.13000000000000256
2015-02-11,0.0,32.0,7.0,33.004999999999995,0.11500000000000199
2015-02-12,0.0,20.0,7.0,32.925,0.045000000000001705
2015-02-13,0.0,20.0,11.0,32.955,0.06500000000000483
2015-02-14,0.0,18.0,12.0,33.16,0.14000000000000057
2015-02-15,0.0,12.0,8.0,33.285,0.11500000000000199
2015-02-16,0.14,11.0,5.0,33.285,0.035000000000003695
2015-02-17,0.01,13.5,12.5,33.26,0.10000000000000142
2015-02-18,0.07,8.5,8.5,33.29,0.10000000000000142
2015-02-19,0.0,2.0,7.0,33.3,0.10999999999999943
2015-02-20,0.0,6.0,12.0,33.435,0.10499999999999687
2015-02-21,0.47,25.5,9.5,33.480000000000004,0.0899999999999963
2015-02-22,0.0,22.0,7.0,33.489999999999995,0.09000000000000341
2015-02-23,0.01,11.0,8.0,33.485,0.134999999999998
2015-02-24,0.0,9.5,15.5,33.47,0.10000000000000142
2015-02-25,0.0,23.5,9.5,33.44,0.12000000000000455
2015-02-26,0.04,16.0,9.0,33.515,0.134999999999998
2015-02-27,0.0,10.0,8.0,33.585,0.16499999999999915
2015-02-28,0.23,16.0,9.0,33.46,0.0799999999999983
2015-03-01,0.53,26.5,4.5,33.59,0.11999999999999744
2015-03-02,0.0,24.0,10.0,33.575,0.14499999999999602
2015-03-03,0.28,33.0,7.0,33.519999999999996,0.10000000000000142
2015-03-04,0.07,27.0,8.0,33.53,0.11999999999999744
2015-03-05,0.0,15.5,7.5,33.515,0.10499999999999687
2015-03-06,0.0,16.0,14.0,33.55,0.13000000000000256
2015-03-07,0.0,31.5,10.5,33.425,0.07500000000000284
2015-03-08,0.0,38.0,11.0,33.3,0.060000000000002274
2015-03-09,0.0,39.5,8.5,33.295,0.07499999999999574
2015-03-10,0.4,44.5,4.5,33.205,0.045000000000001705
2015-03-11,0.0,49.0,15.0,33.205,0.06500000000000483
2015-03-12,0.0,45.5,14.5,33.205,0.08500000000000085
2015-03-13,0.51,47.5,5.5,33.084999999999994,0.035000000000003695
2015-03-14,0.43,51.0,8.0,33.025,0.02499999999999858
2015-03-15,0.0,49.0,16.0,32.97,0.030000000000001137
2015-03-16,0.0,60.5,13.5,33.055,0.125
2015-03-17,0.0,46.5,13.5,33.035,0.09500000000000597
2015-03-18,0.0,36.5,9.5,32.95,0.05999999999999517
2015-03-19,0.02,45.0,5.0,32.88,0.03999999999999915
2015-03-20,0.03,43.5,4.5,32.88,0.07000000000000028
2015-03-21,0.0,48.5,14.5,32.8,0.010000000000005116
2015-03-22,0.0,44.0,8.0,32.775,0.015000000000000568
2015-03-23,0.03,35.5,5.5,32.885000000000005,0.134999999999998
2015-03-24,0.04,35.0,9.0,32.965,0.125
2015-03-25,0.63,48.0,6.0,32.815,0.035000000000003695
2015-03-26,0.5,39.5,5.5,32.81,0.04999999999999716
2015-03-27,0.0,28.0,7.0,32.785,0.035000000000003695
2015-03-28,0.0,28.5,11.5,32.879999999999995,0.13000000000000256
2015-03-29,0.06,37.5,13.5,32.775000000000006,0.03499999999999659
2015-03-30,0.0,48.5,12.5,32.765,0.03499999999999659
2015-03-31,0.0,53.5,9.5,32.760000000000005,0.04999999999999716
2015-04-01,0.0,53.0,16.0,32.795,0.07499999999999574
2015-04-02,0.29,62.0,10.0,32.86,0.0799999999999983
2015-04-03,0.11,50.0,11.0,32.79,0.03999999999999915
2015-04-04,0.0,42.5,12.5,32.785,0.05500000000000682
2015-04-05,0.0,49.0,15.0,32.735,0.035000000000003695
2015-04-06,0.0,54.5,7.5,32.75,0.060000000000002274
2015-04-07,0.32,61.0,5.0,32.805,0.10499999999999687
2015-04-08,0.74,63.5,8.5,32.89,0.14999999999999858
2015-04-09,0.24,70.5,9.5,32.935,0.09499999999999886
2015-04-10,0.04,55.5,13.5,32.91,0.0800000000000054
2015-04-11,0.0,50.0,12.0,32.80500000000001,0.03499999999999659
2015-04-12,0.0,56.5,13.5,32.775,0.054999999999999716
2015-04-13,0.04,63.5,7.5,32.795,0.09499999999999886
2015-04-14,0.0,57.5,6.5,32.79,0.0799999999999983
2015-04-15,0.07,57.5,11.5,32.769999999999996,0.0800000000000054
2015-04-16,0.2,60.5,7.5,32.765,0.08500000000000085
2015-04-17,0.0,61.0,15.0,32.805,0.10499999999999687
2015-04-18,0.0,63.5,12.5,32.815,0.09499999999999886
2015-04-19,0.93,61.5,5.5,32.78,0.07000000000000028
2015-04-20,0.3,51.5,6.5,32.72,0.03999999999999915
2015-04-21,0.0,51.5,10.5,32.66,0.020000000000003126
2015-04-22,0.1,43.5,6.5,32.66,0.060000000000002274
2015-04-23,0.0,44.5,12.5,32.655,0.054999999999999716
2015-04-24,0.0,47.0,15.0,32.64,0.03999999999999915
2015-04-25,0.62,50.0,6.0,32.605000000000004,0.06499999999999773
2015-04-26,0.0,48.5,9.5,32.53,0.01999999999999602
2015-04-27,0.0,46.5,11.5,32.555,0.054999999999999716
2015-04-28,0.0,51.0,12.0,32.53,0.04999999999999716
2015-04-29,0.0,54.0,13.0,32.555,0.08500000000000085
2015-04-30,0.0,52.5,8.5,32.51,0.03999999999999915
2015-05-01,0.0,55.0,16.0,32.55,0.09000000000000341
2015-05-02,0.0,62.0,13.0,32.535,0.06500000000000483
2015-05-03,0.0,65.5,12.5,32.5,0.03999999999999915
2015-05-04,0.13,67.0,9.0,32.625,0.125
2015-05-05,0.0,72.5,10.5,32.69,0.13000000000000256
2015-05-06,0.0,73.5,12.5,32.75,0.10999999999999943
2015-05-07,0.0,75.0,11.0,32.835,0.125
2015-05-08,0.0,74.0,11.0,32.84,0.0899999999999963
2015-05-09,0.05,73.0,7.0,32.79,0.060000000000002274
2015-05-10,0.05,73.5,9.5,32.72,0.03999999999999915
2015-05-11,0.06,69.5,8.5,32.834999999999994,0.17500000000000426
2015-05-12,0.0,57.0,7.0,32.769999999999996,0.060000000000002274
2015-05-13,0.0,55.0,12.0,32.725,0.054999999999999716
2015-05-14,0.0,59.5,10.5,32.715,0.0449999999999946
2015-05-15,0.12,71.0,11.0,32.785,0.13500000000000512
2015-05-16,0.53,67.5,3.5,32.82,0.10000000000000142
2015-05-17,0.0,71.5,7.5,32.755,0.054999999999999716
2015-05-18,0.0,70.5,8.5,32.82,0.13000000000000256
2015-05-19,0.0,56.5,8.5,32.785,0.05500000000000682
2015-05-20,0.0,47.5,4.5,32.68,0.04999999999999716
